country_id,symbol_id,content_entry_id,symbol_type,official_name_ru,elements,decision,decision_reason,source_ids,primary_source_urls,review_status,checked_at,notes
mexico,mexico-coat-of-arms,mexico-coat-of-arms,coat_of_arms,Мексика,bird|plant,eligible,Уже опубликовано; требуется повторная проверка источников и типа символа.,mx-symbols,https://www.gob.mx/semarnat/articulos/escudo-y-labaro-patrio-simbolismo-de-historia-mito-y-biodiversidad-217105,needs_revalidation,2026-09-22,
india,india-state-emblem,india-state-emblem,state_emblem,Индия,animal|other,eligible,Уже опубликовано; требуется повторная проверка источников и типа символа.,in-emblem,https://www.presentations.gov.in/logos/national-emblem/,needs_revalidation,2026-09-22,
brazil,brazil-coat-of-arms,brazil-coat-of-arms,coat_of_arms,Бразилия,other|plant,eligible,Уже опубликовано; требуется повторная проверка источников и типа символа.,br-arms|br-arms-detail,https://www.gov.br/planalto/pt-br/conheca-a-presidencia/biblioteca-da-pr/simbolos-nacionais/brasao-da-republica|https://www.gov.br/defesa/pt-br/arquivos/ajuste-01/lai/institucional/identidade_visual/copy_of_manual_2_atualizado_2023_versao_site.pdf,needs_revalidation,2026-09-22,
south-africa,south-africa-coat-of-arms,south-africa-coat-of-arms,coat_of_arms,ЮАР,bird|flower,eligible,Уже опубликовано; требуется повторная проверка источников и типа символа.,za-arms,https://www.presidency.gov.za/national-symbols-0,needs_revalidation,2026-09-22,
afghanistan,afghanistan-current-emblem-unresolved,,state_emblem,Государственная эмблема Афганистана,architecture|inscription|plant,deferred,Найденное официальное описание относится к конституционному строю 2004 года и не подтверждает нынешнюю версию и статус эмблемы.,af-constitution-2004,https://moj.gov.af/en/node/450,sources_checked,2026-09-22,Требуется первичный источник о действующем символе после 2021 года.
albania,albania-coat-of-arms,albania-coat-of-arms,coat_of_arms,Герб Республики Албания,bird|helmet,eligible,Конституция определяет красный щит с чёрным двуглавым орлом и шлемом Скандербега.,al-constitution|al-president-symbols,https://www.president.al/wp-content/uploads/2018/04/kushtetuta.pdf|https://president.al/simbolet/,reviewed,2026-09-22,Опубликовано в первом пользовательском пакете 2026-09-22.
algeria,algeria-national-emblem-unresolved,,national_emblem,Национальная эмблема Алжира,,deferred,"Конституционный источник подтверждает существование государственной печати, но не даёт проверяемого изображения и состава нынешней национальной эмблемы.",dz-constitution-2008,https://www.joradp.dz/FTP/jo-francais/2008/F2008063.pdf,sources_checked,2026-09-22,Нужен действующий закон или официальное описание конкретной версии эмблемы.
andorra,andorra-coat-of-arms,,coat_of_arms,Герб Княжества Андорра,mitre|crozier|animals|inscription,eligible,Закон описывает четыре традиционные части герба и возможный девиз; официальный статус подтверждён правительственным органом.,ad-state-signs-law|ad-state-signs-office,https://www.govern.ad/documents/d/guest/llei_se_versio_consolidada_2022-pdf?download=true|https://www.govern.ad/ca/tematiques/empresa-i-emprenedoria/ompa/signes-d-estat/sobre-els-signes-d-estat,sources_checked,2026-09-22,
angola,angola-insignia-of-the-republic,angola-insignia-of-the-republic,national_emblem,Инсигния Республики Ангола,gear|plant|book|sun|machete|hoe|star|inscription,eligible,Правительство называет символ Insígnia da República и подробно перечисляет его графические элементы.,ao-national-symbols,https://governo.gov.ao/angola/simbolos-nacionais,reviewed,2026-09-22,Опубликовано в первом пользовательском пакете 2026-09-22.
antigua-and-barbuda,antigua-and-barbuda-coat-of-arms,,coat_of_arms,Герб Антигуа и Барбуды,animal|plant|sun|building|inscription,eligible,"Официальный герб содержит оленей, ананас, сахарный завод, солнце и девиз; символ достаточно различим для карточки.",ag-national-symbols,https://www.ab.gov.ag/detail_template.php?page=aboutAB%2Four_national_symbols,sources_checked,2026-09-22,
