country_id,variant_id,content_entry_id,variant_type,is_primary_study_variant,official_status,graphic_elements,decision,decision_reason,source_ids,primary_source_urls,review_status,checked_at,notes
mexico,mexico-national-flag,mexico-national-flag,national,true,official,bird|animal|plant,eligible,Уже опубликовано; требуется повторная проверка источников и варианта.,mx-symbols|mx-flag-history,https://www.gob.mx/semarnat/articulos/escudo-y-labaro-patrio-simbolismo-de-historia-mito-y-biodiversidad-217105|https://www.inah.gob.mx/foto-del-dia/bandera-simbolo-de-identidad-y-unidad,needs_revalidation,2026-09-22,
india,india-national-flag,india-national-flag,national,true,official,other,eligible,Уже опубликовано; требуется повторная проверка источников и варианта.,in-flag,https://knowindia.india.gov.in/my-india-my-pride/indian-tricolor.php,needs_revalidation,2026-09-22,
brazil,brazil-national-flag,brazil-national-flag,national,true,official,constellation|inscription,eligible,Уже опубликовано; требуется повторная проверка источников и варианта.,br-flag,https://www.gov.br/planalto/pt-br/conheca-a-presidencia/biblioteca-da-pr/simbolos-nacionais/bandeira/bandeira-nacional,needs_revalidation,2026-09-22,
canada,canada-national-flag,canada-national-flag,national,true,official,leaf,eligible,Уже опубликовано; требуется повторная проверка источников и варианта.,ca-flag|ca-flag-history,https://www.canada.ca/en/canadian-heritage/services/flag-canada-description.html|https://www.canada.ca/en/canadian-heritage/services/flag-canada-origin.html,needs_revalidation,2026-09-22,
afghanistan,afghanistan-current-flag-unresolved,,national,false,disputed,inscription|emblem,deferred,Текущий официальный вариант и его международный статус нельзя надёжно подтвердить найденным первичным источником; Конституция 2004 года описывает прежний республиканский флаг.,af-constitution-2004,https://moj.gov.af/en/node/450,sources_checked,2026-09-22,Не публиковать до разрешения расхождения между действующим де-факто использованием и прежним конституционным символом.
albania,albania-national-flag,albania-national-flag,national,true,official,bird,eligible,На красном поле расположен чёрный двуглавый орёл; отдельный узнаваемый графический символ подтверждён статьёй 14 Конституции.,al-constitution|al-president-symbols,https://www.president.al/wp-content/uploads/2018/04/kushtetuta.pdf|https://president.al/simbolet/,reviewed,2026-09-22,Опубликовано в первом пользовательском пакете 2026-09-22.
algeria,algeria-national-flag,algeria-national-flag,national,true,official,crescent|star,eligible,Закон устанавливает зелёно-белый флаг с красными полумесяцем и звездой; символы проходят критерий отбора.,dz-flag-law-1963,https://www.joradp.dz/FTP/Jo-Francais/1963/F1963026.pdf,reviewed,2026-09-22,
andorra,andorra-national-flag,,national,true,official,coat_of_arms,eligible,Традиционный флаг содержит герб в центре жёлтой полосы и имеет отдельный узнаваемый графический элемент.,ad-state-signs-law|ad-state-signs-office,https://www.govern.ad/documents/d/guest/llei_se_versio_consolidada_2022-pdf?download=true|https://www.govern.ad/ca/tematiques/empresa-i-emprenedoria/ompa/signes-d-estat/sobre-els-signes-d-estat,sources_checked,2026-09-22,
andorra,andorra-reduced-flag-representation,,other_official,false,limited_format,,excluded,Вне нового каталога: публикуется только один национальный или государственный флаг страны.,ad-state-signs-law,https://www.govern.ad/documents/d/guest/llei_se_versio_consolidada_2022-pdf?download=true,sources_checked,2026-09-24,Не считать отдельным основным флагом; строка сохраняет явное отрицательное решение по допустимому варианту воспроизведения.
angola,angola-national-flag,angola-national-flag,national,true,official,gear|machete|star,eligible,"В центре флага находятся часть зубчатого колеса, мачете и звезда; официальный источник описывает их вид и значение.",ao-national-symbols,https://governo.gov.ao/angola/simbolos-nacionais,reviewed,2026-09-22,Опубликовано в первом пользовательском пакете 2026-09-22.
antigua-and-barbuda,antigua-and-barbuda-national-flag,antigua-and-barbuda-national-flag,national,true,official,sun,eligible,Флаг содержит восходящее солнце с семью лучами; официальный источник подтверждает вид и значение.,ag-national-symbols,https://www.ab.gov.ag/detail_template.php?page=aboutAB%2Four_national_symbols,reviewed,2026-09-22,
azerbaijan,azerbaijan-state-flag,azerbaijan-state-flag,national,true,official,crescent|star,eligible,"Государственный флаг содержит белые полумесяц и восьмиконечную звезду, подтверждённые конституционным законом.",az-state-symbols|az-flag-law,https://president.az/ru/pages/view/azerbaijan/symbols|https://president.az/ru/articles/view/30708,reviewed,2026-09-22,Опубликовано в первом пользовательском пакете 2026-09-22.
argentina,argentina-national-flag,argentina-national-flag,national,true,official,sun,eligible,Официальный флаг содержит Солнце мая; отдельный графический символ подтверждён государственным источником.,ar-flag|ar-symbols-decree,https://www.argentina.gob.ar/pais/simbolos/bandera|https://www.argentina.gob.ar/normativa/nacional/59311/actualizacion,reviewed,2026-09-22,Опубликовано в первом пользовательском пакете 2026-09-22.
australia,australia-national-flag,australia-national-flag,national,true,official,constellation|star|union_jack,eligible,"Национальный флаг содержит Union Jack, Звезду Содружества и созвездие Южного Креста.",au-national-flag,https://www.pmc.gov.au/honours-and-symbols/australian-national-symbols/australian-national-flag,reviewed,2026-09-22,
australia,australia-red-ensign,,civil_ensign,false,official,constellation|star|union_jack,excluded,Вне нового каталога: публикуется только один национальный или государственный флаг страны.,au-flags,https://www.pmc.gov.au/honours-and-symbols/australian-national-symbols/australian-flags,reviewed,2026-09-24,
austria,austria-national-flag,,national,false,official,,excluded,Флаг Республики состоит только из трёх равных красно-бело-красных горизонтальных полос без отдельного графического символа.,at-constitution-art-8a|at-arms-law-sec-3,https://ris.bka.gv.at/eli/bgbl/1930/1/A8a/NOR40045733|https://ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10000782&Paragraf=3,sources_checked,2026-09-22,
austria,austria-federal-service-flag,austria-federal-service-flag,state,true,restricted_official_use,coat_of_arms|bird|tools,eligible,Dienstflagge des Bundes помещает федеральный герб в центр полос и поэтому имеет узнаваемый графический символ; право использования ограничено законом.,at-arms-law-sec-3,https://ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10000782&Paragraf=3,reviewed,2026-09-22,"В карточке обязательно пояснить, что это федеральный служебный флаг, а не основной гражданский флаг. Опубликовано в первом пользовательском пакете 2026-09-22."
bahamas,bahamas-national-flag,bahamas-national-flag,national,true,official,,eligible,Национальный флаг включён по новому правилу; простой рисунок не является основанием для исключения.,bs-symbols-law,https://laws.bahamas.gov.bs/cms/images/LEGISLATION/PRINCIPAL/1973/1973-0020/1973-0020_1.pdf,reviewed,2026-09-24,
bahrain,bahrain-national-flag,bahrain-national-flag,national,true,official,,eligible,Национальный флаг включён по новому правилу; простой рисунок не является основанием для исключения.,bh-constitution|bh-flag-law-reference|bh-national-flag-guide,https://www.legalaffairs.gov.bh/en/page/The%20Constitution%20of%20the%20Kingdom%20of%20Bahrain|https://www.legalaffairs.gov.bh/Legislation/HTM/O1624|https://www.edunet.bh/e_content/level_1/stage_1/subject_ID_4/Part_3/e_books/Flag--guide---English%281%29/Flag--guide---English%281%29.pdf,reviewed,2026-09-24,"Конституция подтверждает статус флага, правительственный путеводитель — рисунок. Закон № 4/2002 о флаге ранее не был доступен напрямую."
bangladesh,bangladesh-national-flag,bangladesh-national-flag,national,true,official,sun,eligible,Национальный флаг содержит красный круг на зелёном поле; МИД Бангладеш прямо объясняет круг как восходящее солнце.,bd-constitution-art-4|bd-flag-rules-1972|bd-mofa-flag-meaning|bd-national-symbols-order-1972-schedule,https://bdlaws.minlaw.gov.bd/act-print-367/section-print-24551.html|https://file.mofa.gov.bd/uploads/17a82527-2d2c-43fa-a913-76a534396210/667/28a/b0a/66728ab0a55a7907618245.pdf|https://file.mofa.gov.bd/uploads/fc62c7e3-a682-44ed-bb28-99e741c6cd53/639/52a/fdd/63952afdd3fd6124877543.pdf|https://bdlaws.minlaw.gov.bd/upload/act/418___Schedule.pdf,reviewed,2026-09-23,"Перед публикацией карточки повторно открыть PDF МИД: поисковый индекс показал текст, но прямое открытие во время проверки завершилось тайм-аутом."
armenia,armenia-national-flag,armenia-national-flag,national,true,official,,eligible,Национальный флаг включён по новому правилу; простой рисунок не является основанием для исключения.,am-president-state-symbols,https://www.president.am/en/state-symbols/,reviewed,2026-09-24,
barbados,barbados-national-flag,barbados-national-flag,national,true,official,trident,eligible,Национальный флаг имеет чёрный сломанный трезубец в центре золотой полосы; знак прямо описан в законе.,bb-national-emblems-regulations,https://www.barbadoslawcourts.gov.bb/assets/content/pdfs/subsidiary_legislation_of_barbados/NationalEmblemsandNationalAnthemofBarbadosRegulations%2C1976Cap300A%27A.pdf,reviewed,2026-09-23,
