source_number,question_ru,type_ru,status,note_ru
1,С какой единственной страной Португалия имеет сухопутную границу?,Единственный сосед,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
2,Какая страна является единственным сухопутным соседом Гамбии?,Единственный сосед,published,Проверен и включён в пробный набор
3,Какой единственный сухопутный сосед у Монако?,Единственный сосед,deferred_review,"Официальный источник найден, но контур Монако в Natural Earth 1:10m непригоден для точной крупной карты"
4,С какой единственной страной Бруней имеет сухопутную границу?,Единственный сосед,excluded_disputed_region,В совместных документах Малайзии и Брунея ещё обсуждаются участки сухопутной границы
5,С какой единственной страной Южная Корея имеет сухопутную границу?,Единственный сосед,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
6,С какой единственной страной Катар имеет сухопутную границу?,Единственный сосед,published,Официальный источник Катара; сухопутная граница с Саудовской Аравией; карта проверена
7,С какой единственной страной Тимор-Лешти имеет сухопутную границу?,Единственный сосед,excluded_disputed_region,Ведомство Тимора-Лешти указывает на неурегулированные участки сухопутной границы с Индонезией
8,С какой единственной страной Папуа — Новая Гвинея имеет сухопутную границу?,Единственный сосед,published,МИД Папуа — Новой Гвинеи; граница с Индонезией; карта проверена
9,С какой единственной страной Гаити имеет сухопутную границу?,Единственный сосед,published,Посольство Доминиканской Республики в Гаити; общая сухопутная граница; карта проверена
10,С какой единственной страной Доминиканская Республика имеет сухопутную границу?,Единственный сосед,published,Посольство Доминиканской Республики в Гаити; общая сухопутная граница; карта проверена
11,Какая африканская страна полностью окружена территорией ЮАР?,Анклавность,published,Проверен и включён в пробный набор
12,Какое государство полностью окружено территорией Италии?,Анклавность,published,Проверен и включён в пробный набор
13,Какое самое маленькое государство мира полностью окружено территорией Италии?,Анклавность,deferred_review,Контур Ватикана в выбранных данных не подходит для точной крупной карты
14,Какая из этих стран НЕ является государством-анклавом?,Анклавность,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
15,Сколько суверенных государств в мире полностью окружены территорией одного другого государства?,Анклавность,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
16,С какими двумя странами граничит Лихтенштейн?,Список соседей,published,Проверен и включён в пробный набор
17,С какими двумя странами граничит Андорра?,Список соседей,published,Правительство Андорры; сухопутные соседи Франция и Испания; карта проверена
18,С какими двумя странами граничит Монголия?,Список соседей,published,Официальный источник Монголии; границы с Россией и Китаем; карта проверена
19,С какими двумя странами граничит Непал?,Список соседей,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
20,С какими двумя странами граничит Бутан?,Список соседей,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
21,Какая из этих стран граничит с Бангладеш?,Список соседей,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
22,Какая из этих стран граничит с Лаосом?,Список соседей,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
23,Какая из этих стран граничит с Камбоджей?,Список соседей,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
24,Какая из этих стран граничит с Вьетнамом?,Список соседей,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
25,Какая из этих стран имеет сухопутную границу с Северной Кореей?,Список соседей,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
26,Какая из этих стран граничит с Афганистаном?,Список соседей,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
27,Какая из этих стран граничит с Пакистаном?,Список соседей,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
