catalog_record_id,catalog,official_name,country_ids,source_url,catalog_status,review_status,candidate_decision,decision_reason,checked_at,notes
whc-1133,world_heritage_natural,Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,albania|austria|belgium|bosnia-and-herzegovina|bulgaria|croatia|czechia|france|germany|italy|north-macedonia|poland|romania|slovakia|slovenia|spain|switzerland|ukraine,https://whc.unesco.org/en/list/1133,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-145,world_heritage_natural,Los Glaciares National Park,argentina,https://whc.unesco.org/en/list/145,active,sources_checked,eligible,Из территории Лос-Гласьярес выделен конкретный ледник Перито-Морено.,2026-09-23,Выделенные объекты: perito-moreno-glacier
whc-303,world_heritage_natural,Iguazu National Park,argentina,https://whc.unesco.org/en/list/303,active,sources_checked,eligible,Опубликованные ранее водопады Игуасу связаны с исходной строкой аргентинского национального парка; других отдельно именованных физических объектов описание ЮНЕСКО не выделяет.,2026-09-23,Выделенные объекты: iguazu-falls
whc-937,world_heritage_natural,Península Valdés,argentina,https://whc.unesco.org/en/list/937,active,sources_checked,eligible,Выделены физический полуостров Вальдес и отдельно названный залив Нуэво.,2026-09-23,Выделенные объекты: peninsula-valdes|golfo-nuevo
whc-966,world_heritage_natural,Ischigualasto / Talampaya Natural Parks,argentina,https://whc.unesco.org/en/list/966,active,sources_checked,eligible,Из двух парков выделены именованные каньон Талампайя и Лунная долина Исчигуаласто.,2026-09-23,Выделенные объекты: talampaya-canyon|valle-de-la-luna-ischigualasto
whc-1526,world_heritage_natural,Los Alerces National Park,argentina,https://whc.unesco.org/en/list/1526,active,sources_checked,eligible,Выделены озеро Менендес и названный ЮНЕСКО Тысячелетний алерсовый лес у его северного рукава.,2026-09-23,Выделенные объекты: lake-menendez|millennial-alerce-forest
whc-154,world_heritage_natural,Great Barrier Reef,australia,https://whc.unesco.org/en/list/154,active,sources_checked,eligible,Уже опубликованный Большой Барьерный риф связан с исходной строкой; дополнительно выделены три отдельно названных островных объекта.,2026-09-23,Выделенные объекты: great-barrier-reef|whitsunday-islands|hinchinbrook-island|raine-island
whc-186,world_heritage_natural,Lord Howe Island Group,australia,https://whc.unesco.org/en/list/186,active,sources_checked,eligible,"Из архипелага выделены сам остров Лорд-Хау, Болс-Пирамид и отдельный коралловый риф острова.",2026-09-23,Выделенные объекты: lord-howe-island|balls-pyramid|lord-howe-coral-reef
whc-368,world_heritage_natural,Gondwana Rainforests of Australia,australia,https://whc.unesco.org/en/list/368,active,sources_checked,eligible,Из составной природной территории выделены кальдера Твид и её центральная гора Волламбин.,2026-09-23,Выделенные объекты: tweed-caldera|wollumbin-mount-warning
whc-486,world_heritage_natural,Wet Tropics of Queensland,australia,https://whc.unesco.org/en/list/486,active,sources_checked,eligible,Выделен названный ЮНЕСКО мангровый пролив Хинчинбрук; остальная большая территория без отдельного имени не стала одной карточкой.,2026-09-23,Выделенные объекты: hinchinbrook-channel
whc-578,world_heritage_natural,"Shark Bay, Western Australia",australia,https://whc.unesco.org/en/list/578,active,sources_checked,eligible,"Выделены лагуна Хамелин-Пул, морская травяная банка Вурамел и отдельно подтверждённый государственным источником Ракушечный пляж.",2026-09-23,Выделенные объекты: hamelin-pool|wooramel-seagrass-bank|shell-beach-shark-bay
whc-630,world_heritage_natural,K’gari,australia,https://whc.unesco.org/en/list/630,active,sources_checked,eligible,Выделены песчаный остров К’гари и отдельно подтверждённое правительственным источником озеро Буронгура (Маккензи).,2026-09-23,Выделенные объекты: kgari-island|boorangoora-lake-mckenzie
whc-698,world_heritage_natural,Australian Fossil Mammal Sites (Riversleigh / Naracoorte),australia,https://whc.unesco.org/en/list/698,active,sources_checked,eligible,Два разнесённых местонахождения разложены на конкретные доступные геологические объекты: известняковый участок D и пещеру Виктория.,2026-09-23,Выделенные объекты: riversleigh-d-site|victoria-fossil-cave
whc-577,world_heritage_natural,Heard and McDonald Islands,australia,https://whc.unesco.org/en/list/577,active,sources_checked,eligible,Выделены два отдельных острова и названный вулкан Биг-Бен на острове Херд.,2026-09-23,Выделенные объекты: heard-island|big-ben-volcano|mcdonald-island
whc-629,world_heritage_natural,Macquarie Island,australia,https://whc.unesco.org/en/list/629,active,sources_checked,eligible,Остров Маккуори выделен как единый именованный ландшафт; соседние мелкие островки только обозначают границы территории и не получили отдельного подтверждения значимости.,2026-09-23,Выделенные объекты: macquarie-island
whc-917,world_heritage_natural,Greater Blue Mountains Area,australia,https://whc.unesco.org/en/list/917,active,sources_checked,eligible,"В большой территории выделены три конкретных названных объекта, проверенных службой парков Нового Южного Уэльса.",2026-09-23,Выделенные объекты: three-sisters-blue-mountains|wentworth-falls|jamison-valley
whc-1094,world_heritage_natural,Purnululu National Park,australia,https://whc.unesco.org/en/list/1094,active,sources_checked,eligible,Выделены именованный полосатый хребет и три отдельно названных ЮНЕСКО ущелья.,2026-09-23,Выделенные объекты: bungle-bungle-range|echidna-chasm|piccaninny-gorge|cathedral-gorge-purnululu
whc-1369,world_heritage_natural,Ningaloo Coast,australia,https://whc.unesco.org/en/list/1369,active,sources_checked,eligible,"Выделены морской риф, наземная карстовая система, конкретная воронка Бундера и подтверждённое государственным источником ущелье Ярди-Крик.",2026-09-23,Выделенные объекты: ningaloo-reef|cape-range-karst|bundera-sinkhole|yardie-creek-gorge
whc-1584,world_heritage_natural,Hyrcanian Forests,azerbaijan|iran,https://whc.unesco.org/en/list/1584,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-798,world_heritage_natural,The Sundarbans,bangladesh,https://whc.unesco.org/en/list/798,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-33,world_heritage_natural,Białowieża Forest,belarus|poland,https://whc.unesco.org/en/list/33,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-764,world_heritage_natural,Belize Barrier Reef Reserve System,belize,https://whc.unesco.org/en/list/764,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-749,world_heritage_natural,W-Arly-Pendjari Complex,benin|burkina-faso|niger,https://whc.unesco.org/en/list/749,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-967,world_heritage_natural,Noel Kempff Mercado National Park,bolivia,https://whc.unesco.org/en/list/967,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-1673,world_heritage_natural,"Vjetrenica Cave, Ravno",bosnia-and-herzegovina,https://whc.unesco.org/en/list/1673,active,sources_checked,eligible,Исходная территория содержит одну конкретную именованную карстовую пещеру.,2026-09-23,Выделенные объекты: vjetrenica-cave
whc-1432,world_heritage_natural,Okavango Delta,botswana,https://whc.unesco.org/en/list/1432,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-355,world_heritage_natural,Iguaçu National Park,brazil,https://whc.unesco.org/en/list/355,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-893,world_heritage_natural,Atlantic Forest South-East Reserves,brazil,https://whc.unesco.org/en/list/893,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-892,world_heritage_natural,Discovery Coast Atlantic Forest Reserves,brazil,https://whc.unesco.org/en/list/892,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-998,world_heritage_natural,Central Amazon Conservation Complex,brazil,https://whc.unesco.org/en/list/998,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-999,world_heritage_natural,Pantanal Conservation Area,brazil,https://whc.unesco.org/en/list/999,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-1000,world_heritage_natural,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,brazil,https://whc.unesco.org/en/list/1000,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-1035,world_heritage_natural,Cerrado Protected Areas: Chapada dos Veadeiros and Emas National Parks,brazil,https://whc.unesco.org/en/list/1035,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-1611,world_heritage_natural,Lençóis Maranhenses National Park,brazil,https://whc.unesco.org/en/list/1611,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-1747,world_heritage_natural,Peruaçu River Canyon,brazil,https://whc.unesco.org/en/list/1747,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-225,world_heritage_natural,Pirin National Park,bulgaria,https://whc.unesco.org/en/list/225,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-219,world_heritage_natural,Srebarna Nature Reserve,bulgaria,https://whc.unesco.org/en/list/219,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-407,world_heritage_natural,Dja Faunal Reserve,cameroon,https://whc.unesco.org/en/list/407,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-1380,world_heritage_natural,Sangha Trinational,cameroon|central-african-republic|congo,https://whc.unesco.org/en/list/1380,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-24,world_heritage_natural,Nahanni National Park,canada,https://whc.unesco.org/en/list/24,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-71,world_heritage_natural,Dinosaur Provincial Park,canada,https://whc.unesco.org/en/list/71,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-72,world_heritage_natural,Kluane / Wrangell-St. Elias / Glacier Bay / Tatshenshini-Alsek,canada|united-states,https://whc.unesco.org/en/list/72,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-256,world_heritage_natural,Wood Buffalo National Park,canada,https://whc.unesco.org/en/list/256,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-304,world_heritage_natural,Canadian Rocky Mountain Parks,canada,https://whc.unesco.org/en/list/304,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-419,world_heritage_natural,Gros Morne National Park,canada,https://whc.unesco.org/en/list/419,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-354,world_heritage_natural,Waterton Glacier International Peace Park,canada|united-states,https://whc.unesco.org/en/list/354,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-686,world_heritage_natural,Miguasha National Park,canada,https://whc.unesco.org/en/list/686,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-1285,world_heritage_natural,Joggins Fossil Cliffs,canada,https://whc.unesco.org/en/list/1285,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-1497,world_heritage_natural,Mistaken Point,canada,https://whc.unesco.org/en/list/1497,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
